"Current Assigned Rank","Preference","Start Date","Duration","Grade","Region","Sub-Region","Area(Sector)","Dual Training Programme","Places Available","Description","Programme Name","Programme Number","Tags"
"X","East of England - Suffolk - Bury St. Edmunds - CT1 - Aug - 9","05/08/2026 00:00:00","48","Core Training Year 1","East of England","East of England - Suffolk","Bury St. Edmunds","","2","ACCS.  Rotation to commence West Suffolk Hospital, Bury St Edmunds for 36 months followed by 12 months Lister Hospital, Stevenage.  We expect anyone who accepts a post to have considered where to base themselves for the duration of their post and whether they can fulfil the rotation they have accepted. Changes cannot be expected after the post has been accepted. Please refer to the website for more information before accepting the post.","","",""
"X","East of England - Suffolk - Ipswich - CT1 - Aug - 15","05/08/2026 00:00:00","36","Core Training Year 1","East of England","East of England - Suffolk","Ipswich","","1","CORE.  Rotation to commence Ipswich Hospital for 24 months followed by 12 months at Colchester Hospital.  We expect anyone who accepts a post to have considered where to base themselves for the duration of their post and whether they can fulfil the rotation they have accepted. Changes cannot be expected after the post has been accepted. Please refer to the website for more information before accepting the post.","","",""
"X","East of England - Suffolk - Ipswich - CT1 - Aug - 4","05/08/2026 00:00:00","48","Core Training Year 1","East of England","East of England - Suffolk","Ipswich","","1","ACCS.  Rotation to commence Ipswich Hospital for 36 months followed by 12 months in Colchester Hospital.  We expect anyone who accepts a post to have considered where to base themselves for the duration of their post and whether they can fulfil the rotation they have accepted. Changes cannot be expected after the post has been accepted. Please refer to the website for more information before accepting the post.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 1","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","4","1.2.3.4. KSS Core Kent - CT1 Queen Elizabeth the Queen Mother Hospital / CT2 William Harvey Hospital, East Kent Hospitals NHS Trust / CT3 Year William Harvey Hospital, East Kent Hospitals NHS Trust. Rotations may be subject to change due to the new curriculum 2021 changes and service needs. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 18","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","3","1.2.3. KSS ACCS Anaesthetics Kent - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Darent Valley Hospital, Dartford & Gravesham NHS Trust, CT3 (Anaes) Maidstone & Tunbridge Wells NHS Trust // CT4 Year (Anaes) Maidstone & Tunbridge Wells NHS Trust.   Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 19","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","4. KSS ACCS Anaesthetics  Kent - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Darent Valley Hospital, Dartford & Gravesham NHS Trust, CT3 (Anaes) Medway Maritime Hospital, Medway NHS Trust // CT4 Year (Anaes) Medway Maritime Hospital, Medway NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 2","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","4","5.6.7.8. KSS Core Kent - CT1 William Harvey Hospital / CT2 Queen Elizabeth the Queen Mother Hospital, East Kent Hospitals NHS Trust / CT3  Queen Elizabeth the Queen Mother Hospital, East Kent Hospitals NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 20","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","5. KSS ACCS Anaesthetics Kent  - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 Medway Maritime Hospital, Medway NHS Trust,  CT3 (Anaes) Darent Valley Hospital, Dartford & Gravesham NHS Trust // CT4 Year (Anaes) Darent Valley Hospital, Dartford & Gravesham NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 21","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","6. KSS ACCS  Anaesthetics  Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme)  Medway Maritime Hospital, Medway NHS Trust, CT2 KENT TRUST TBC,  CT3 (Anaes) Darent Valley Hospital, Dartford & Gravesham NHS Trust // CT4 Year (Anaes) Darent Valley Hospital, Dartford & Gravesham NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 22","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","7. KSS ACCS Anaesthetics Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) East Kent Hospitals NHS Trust, CT3 (Anaes) Maidstone & Tunbridge Wells NHS Trust // CT4 Year (Anaes) Maidstone & Tunbridge Wells NHS Trust.   Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 23","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","8. KSS ACCS Anaesthetics Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) East Kent Hospitals NHS Trust, CT3 (Anaes) Medway Maritime Hospital, Medway NHS Trust // CT4 Year Medway Maritime Hospital, Medway NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 3","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","9. KSS Core Kent - CT1 Medway Maritime Hospital, Medway NHS Trust / CT2 Medway Maritime Hospital, Medway NHS Trust/ CT3 Year Medway Maritime Hospital, Medway NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations’.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 4","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","2","10.11. KSS Core Kent - CT1 Maidstone & Tunbridge Wells NHS Trust  /  CT2 Maidstone & Tunbridge Wells NHS Trust  / CT3 Year Maidstone & Tunbridge Wells NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations’.","","",""
"X","Kent, Surrey and Sussex - Kent - CT1 - Aug - 5","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Kent","-","","1","12. KSS Core Kent - CT1 Maidstone & Tunbridge Wells NHS Trust / CT2 Medway Maritime Hospital, Medway NHS Trust  / CT3 Year Medway Maritime Hospital, Medway NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations’.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 10","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","1","8. KSS Core Surrey - CT1 Royal Surrey County Hospital, Royal Surrey NHS Trust & CT2 Royal Surrey County Hospital, Royal Surrey NHS Trust/  CT3 Year Royal Surrey County Hospital, Royal Surrey NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 24","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","1","9. KSS ACCS Anaesthetics Surrey - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Frimley Park Hospital. Frimley Park NHS Trust, CT3 (Anaes) Frimley Park Hospital. Frimley Park NHS Trust // CT4 Year Anaes) Frimley Park Hospital, Frimley Park NHS Trust. Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 25","05/08/2026 00:00:00","48","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","2","10.11. KSS ACCS Anaesthetics Surrey - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Royal Surrey County Hospital, Royal Surrey NHS Trust, CT3 (Anaes) Royal Surrey County Hospital, Royal Surrey NHS Trust // CT4 Year Anaes) Royal Surrey County Hospital, Royal Surrey NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 6","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","2","1.2. KSS Core Anaes Surrey - CT1 & CT2 St Peter's Hospital, Ashford & St Peter's NHS Trust / CT3 Year St Peter's Hospital, Ashford & St Peter's NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations’.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 7","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","1","3. KSS Core Surrey - CT1 St Peter's Hospital, Ashford & St Peter's NHS Trust & CT2 Frimley Park Hospital, Frimley Park NHS Trust /  CT3 Year Frimley Park Hospital, Frimley Park NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
"X","Kent, Surrey and Sussex - Surrey - CT1 - Aug - 8","05/08/2026 00:00:00","36","Core Training Year 1","Kent, Surrey and Sussex","Kent, Surrey and Sussex - Surrey","-","","2","4.5.. KSS Core Surrey - CT1 & CT2 East Surrey Hospital, Surrey & Sussex Healthcare NHS Trust  / CT3 Year East Surrey Hospital, Surrey & Sussex Healthcare NHS Trust.  Rotations may be subject to change due to new curriculum 2021 changes and service needs. If you choose to make any changes to your full-time working status once you have started in the programme this may alter your onward training rotations.","","",""
